time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
1969/12/31/19:01:18.230000,7683,78,230000000,firefly/imugt_link,0.134674549161,0.0304720274595,-0.410319206739,-0.901427961588,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.158586401004,0.331029202908,0.426571018533,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.863560180158,-0.135026133109,9.21821066135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.230000,7684,78,240000000,firefly/imugt_link,0.134422321041,0.0292142777004,-0.412154059047,-0.900669860268,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.138870411063,0.151994566463,0.424851659053,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.840649421183,-0.136139336405,9.18915053243,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.250000,7685,78,250000000,firefly/imugt_link,0.133704600967,0.0288684915959,-0.414120568669,-0.899885461866,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.147612720452,-0.0543432367942,0.423497461669,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.821926206616,-0.134333373846,9.44399195173,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.260000,7686,78,260000000,firefly/imugt_link,0.132424162506,0.029464072293,-0.416229805899,-0.899082008667,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.171234509348,-0.274300205488,0.422342138451,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.795118602355,-0.130589437705,9.52755171432,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.270000,7687,78,270000000,firefly/imugt_link,0.130524964485,0.0310171771754,-0.418485956206,-0.898259802521,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.20316354235,-0.501990974699,0.42131503029,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.765271084131,-0.12577534745,9.54196307079,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.270000,7688,78,280000000,firefly/imugt_link,0.127922818952,0.0334886357212,-0.420888447864,-0.897422519287,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.253103771483,-0.729727423652,0.420535380314,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.741573949912,-0.119013648605,9.6781489047,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.290000,7689,78,290000000,firefly/imugt_link,0.124572574899,0.0368429433894,-0.423432058228,-0.89656542604,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.313501213534,-0.954908349239,0.419935558523,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.714451550007,-0.110883796376,9.72980396133,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.300000,7690,78,300000000,firefly/imugt_link,0.12043996606,0.0410369421333,-0.42610859025,-0.895679436668,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.382934519119,-1.17526821298,0.419535789257,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.687616857716,-0.101560842174,9.78368194809,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.310000,7691,78,310000000,firefly/imugt_link,0.115891546922,0.0454757544202,-0.428829022459,-0.894766324025,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.436268469978,-1.25584658823,0.420400611996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.749560490522,-0.0991011245762,11.3679936996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.320000,7692,78,320000000,firefly/imugt_link,0.111164656446,0.0498213605658,-0.431544088227,-0.893828815325,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.475590009392,-1.25457172423,0.4220669868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.771546295582,-0.089563249797,12.1922517849,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.320000,7693,78,330000000,firefly/imugt_link,0.106468617161,0.0537928665575,-0.434214894911,-0.892876355441,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.501587539019,-1.18419200123,0.424070552485,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.789424320149,-0.0797253741526,12.6779416327,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.340000,7694,78,340000000,firefly/imugt_link,0.101908533491,0.0572301038885,-0.436824566667,-0.891921332835,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.52298778952,-1.07570155903,0.426214274628,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.804478493351,-0.070057355623,12.8438383275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.350000,7695,78,350000000,firefly/imugt_link,0.0975381277696,0.0600458729615,-0.43936771839,-0.890975204374,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.542867504467,-0.946802410778,0.428411089275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.82076044065,-0.0614754732529,12.8730407246,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.360000,7696,78,360000000,firefly/imugt_link,0.0933984861647,0.0622016053628,-0.441843677505,-0.890045980678,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.559265131474,-0.807395922895,0.430591984631,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.838981586717,-0.054678170459,12.8525661715,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.370000,7697,78,370000000,firefly/imugt_link,0.0896150195731,0.0636009804983,-0.444239421705,-0.889143070461,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.562192835199,-0.639453651666,0.43254415244,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.8650813741,-0.0511138369507,12.9540379023,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.370000,7698,78,380000000,firefly/imugt_link,0.0862538463168,0.0641906738225,-0.446550597322,-0.888274954854,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.558584040734,-0.455988678766,0.434303806039,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.892221158734,-0.0490161792122,12.956510453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
